time,finprice,contrast,return,numOfStock,fore_vol,fore_ratio,fore_limit,fore_limit_rate
2023/12/28,4980,75,1.53,45252759,1461677,3.23,45252759,3.23
2023/12/27,4905,-125,-2.49,45252759,1457662,3.22,45252759,3.22
2023/12/26,5030,-120,-2.33,45252759,1463150,3.23,45252759,3.23
2023/12/22,5150,110,2.18,45252759,1458740,3.22,45252759,3.22
2023/12/21,5040,90,1.82,45252759,1492735,3.3,45252759,3.3
2023/12/20,4950,-10,-0.2,45252759,1514595,3.35,45252759,3.35
2023/12/19,4960,130,2.69,45252759,1501144,3.32,45252759,3.32
2023/12/18,4830,130,2.77,45252759,1460743,3.23,45252759,3.23
2023/12/15,4700,110,2.4,45252759,1394317,3.08,45252759,3.08
2023/12/14,4590,40,0.88,45252759,1399354,3.09,45252759,3.09
2023/12/13,4550,-195,-4.11,45252759,1431242,3.16,45252759,3.16
2023/12/12,4745,190,4.17,45252759,1427957,3.16,45252759,3.16
2023/12/11,4555,-125,-2.67,45252759,1467284,3.24,45252759,3.24
2023/12/08,4680,100,2.18,45252759,1467284,3.24,45252759,3.24
2023/12/07,4580,20,0.44,45252759,1518599,3.36,45252759,3.36
2023/12/06,4560,150,3.4,45252759,1506466,3.33,45252759,3.33
2023/12/05,4410,-45,-1.01,45252759,1519232,3.36,45252759,3.36
2023/12/04,4455,-50,-1.11,45252759,1549213,3.42,45252759,3.42
2023/12/01,4505,185,4.28,45252759,1503596,3.32,45252759,3.32
2023/11/30,4320,125,2.98,45252759,1475532,3.26,45252759,3.26
2023/11/29,4195,45,1.08,45252759,1477938,3.27,45252759,3.27
2023/11/28,4150,30,0.73,45252759,1467157,3.24,45252759,3.24
2023/11/27,4120,-35,-0.84,45252759,1463022,3.23,45252759,3.23
2023/11/24,4155,-5,-0.12,45252759,1469604,3.25,45252759,3.25
2023/11/23,4160,-40,-0.95,45252759,1489415,3.29,45252759,3.29
2023/11/22,4200,40,0.96,45252759,1485596,3.28,45252759,3.28
2023/11/21,4160,-5,-0.12,45252759,1494539,3.3,45252759,3.3
2023/11/20,4165,15,0.36,45252759,1508648,3.33,45252759,3.33
2023/11/17,4150,-35,-0.84,45252759,1504481,3.32,45252759,3.32
2023/11/16,4185,90,2.2,45252759,1488847,3.29,45252759,3.29
2023/11/15,4095,60,1.49,45252759,1473651,3.26,45252759,3.26
2023/11/14,4035,15,0.37,45252759,1472957,3.25,45252759,3.25
2023/11/13,4020,-5,-0.12,45252759,1475217,3.26,45252759,3.26
