time,finprice,contrast,return,numOfStock,fore_vol,fore_ratio,fore_limit,fore_limit_rate
2023/12/28,17100,100,0.59,13247561,753809,5.69,13247561,5.69
2023/12/27,17000,-120,-0.7,13247561,753988,5.69,13247561,5.69
2023/12/26,17120,150,0.88,13247561,754501,5.7,13247561,5.7
2023/12/22,16970,10,0.06,13247561,754760,5.7,13247561,5.7
2023/12/21,16960,-120,-0.7,13247561,755114,5.7,13247561,5.7
2023/12/20,17080,170,1.01,13247561,755670,5.7,13247561,5.7
2023/12/19,16910,-120,-0.7,13247561,756444,5.71,13247561,5.71
2023/12/18,17030,-120,-0.7,13247561,756732,5.71,13247561,5.71
2023/12/15,17150,-220,-1.27,13247561,757193,5.72,13247561,5.72
2023/12/14,17370,400,2.36,13247561,758077,5.72,13247561,5.72
2023/12/13,16970,-90,-0.53,13247561,758509,5.73,13247561,5.73
2023/12/12,17060,-110,-0.64,13247561,759077,5.73,13247561,5.73
2023/12/11,17170,70,0.41,13247561,759275,5.73,13247561,5.73
2023/12/08,17100,140,0.83,13247561,759275,5.73,13247561,5.73
2023/12/07,16960,-40,-0.24,13247561,759743,5.73,13247561,5.73
2023/12/06,17000,-70,-0.41,13247561,756803,5.71,13247561,5.71
2023/12/05,17070,-390,-2.23,13247561,757641,5.72,13247561,5.72
2023/12/04,17460,-280,-1.58,13247561,758332,5.72,13247561,5.72
2023/12/01,17740,-60,-0.34,13247561,758422,5.72,13247561,5.72
2023/11/30,17800,10,0.06,13247561,758490,5.73,13247561,5.73
2023/11/29,17790,-180,-1.0,13247561,759144,5.73,13247561,5.73
2023/11/28,17970,90,0.5,13247561,759278,5.73,13247561,5.73
2023/11/27,17880,-70,-0.39,13247561,759279,5.73,13247561,5.73
2023/11/24,17950,-40,-0.22,13247561,759264,5.73,13247561,5.73
2023/11/23,17990,110,0.62,13247561,759227,5.73,13247561,5.73
2023/11/22,17880,-30,-0.17,13247561,759317,5.73,13247561,5.73
2023/11/21,17910,-70,-0.39,13247561,758838,5.73,13247561,5.73
2023/11/20,17980,-20,-0.11,13247561,758333,5.72,13247561,5.72
2023/11/17,18000,60,0.33,13247561,759713,5.73,13247561,5.73
2023/11/16,17940,-40,-0.22,13247561,760026,5.74,13247561,5.74
2023/11/15,17980,50,0.28,13247561,760194,5.74,13247561,5.74
2023/11/14,17930,-20,-0.11,13247561,759263,5.73,13247561,5.73
2023/11/13,17950,170,0.96,13247561,753499,5.69,13247561,5.69
2023/11/10,17780,120,0.68,13247561,752890,5.68,13247561,5.68
2023/11/09,17660,-120,-0.67,13247561,752340,5.68,13247561,5.68
2023/11/08,17780,-70,-0.39,13247561,750980,5.67,13247561,5.67
2023/11/07,17850,-380,-2.08,13247561,751463,5.67,13247561,5.67
2023/11/06,18230,650,3.7,13247561,749379,5.66,13247561,5.66
2023/11/03,17580,-70,-0.4,13247561,749405,5.66,13247561,5.66
2023/11/02,17650,430,2.5,13247561,748994,5.65,13247561,5.65
2023/11/01,17220,-220,-1.26,13247561,749104,5.65,13247561,5.65
2023/10/31,17440,-500,-2.79,13247561,750511,5.67,13247561,5.67
2023/10/30,17940,-70,-0.39,13247561,749079,5.65,13247561,5.65
2023/10/27,18010,690,3.98,13247561,742362,5.6,13247561,5.6
2023/10/26,17320,50,0.29,13247561,741583,5.6,13247561,5.6
2023/10/25,17270,540,3.23,13247561,738625,5.58,13247561,5.58
2023/10/24,16730,0,0.0,13247561,737994,5.57,13247561,5.57
2023/10/23,16730,-180,-1.06,13247561,737174,5.56,13247561,5.56
2023/10/20,16910,-70,-0.41,13247561,736563,5.56,13247561,5.56
2023/10/19,16980,10,0.06,13247561,735553,5.55,13247561,5.55
2023/10/18,16970,-70,-0.41,13247561,735087,5.55,13247561,5.55
2023/10/17,17040,130,0.77,13247561,734263,5.54,13247561,5.54
2023/10/16,16910,-160,-0.94,13247561,733950,5.54,13247561,5.54
2023/10/13,17070,-160,-0.93,13247561,733911,5.54,13247561,5.54
2023/10/12,17230,410,2.44,13247561,733517,5.54,13247561,5.54
