time,finprice,contrast,return,numOfStock,fore_vol,fore_ratio,fore_limit,fore_limit_rate
2023/12/28,3810,15,0.4,95716791,3724742,3.89,95716791,3.89
2023/12/27,3795,-105,-2.69,95716791,3737140,3.9,95716791,3.9
2023/12/26,3900,0,0.0,95716791,3743204,3.91,95716791,3.91
2023/12/22,3900,20,0.52,95716791,3742685,3.91,95716791,3.91
2023/12/21,3880,-100,-2.51,95716791,3724892,3.89,95716791,3.89
2023/12/20,3980,130,3.38,95716791,3680249,3.84,95716791,3.84
2023/12/19,3850,-40,-1.03,95716791,3691219,3.86,95716791,3.86
2023/12/18,3890,-70,-1.77,95716791,3716936,3.88,95716791,3.88
2023/12/15,3960,200,5.32,95716791,3709049,3.88,95716791,3.88
2023/12/14,3760,-15,-0.4,95716791,3720058,3.89,95716791,3.89
2023/12/13,3775,5,0.13,95716791,3712360,3.88,95716791,3.88
2023/12/12,3770,-65,-1.69,95716791,3717946,3.88,95716791,3.88
2023/12/11,3835,15,0.39,95716791,3742999,3.91,95716791,3.91
2023/12/08,3820,-65,-1.67,95716791,3742999,3.91,95716791,3.91
2023/12/07,3885,70,1.83,95716791,3729399,3.9,95716791,3.9
2023/12/06,3815,190,5.24,95716791,3750736,3.92,95716791,3.92
2023/12/05,3625,-135,-3.59,95716791,3841027,4.01,95716791,4.01
2023/12/04,3760,40,1.08,95716791,3851818,4.02,95716791,4.02
2023/12/01,3720,105,2.9,95716791,4007122,4.19,95716791,4.19
2023/11/30,3615,-40,-1.09,95716791,4015002,4.19,95716791,4.19
2023/11/29,3655,100,2.81,95716791,3993963,4.17,95716791,4.17
2023/11/28,3555,40,1.14,95716791,3987689,4.17,95716791,4.17
2023/11/27,3515,-20,-0.57,95716791,3973534,4.15,95716791,4.15
2023/11/24,3535,5,0.14,95716791,3970792,4.15,95716791,4.15
2023/11/23,3530,-25,-0.7,95716791,3968013,4.15,95716791,4.15
2023/11/22,3555,-15,-0.42,95716791,3972386,4.15,95716791,4.15
2023/11/21,3570,0,0.0,95716791,3974205,4.15,95716791,4.15
2023/11/20,3570,30,0.85,95716791,3973217,4.15,95716791,4.15
2023/11/17,3540,10,0.28,95716791,3980853,4.16,95716791,4.16
2023/11/16,3530,-5,-0.14,95716791,3978213,4.16,95716791,4.16
2023/11/15,3535,45,1.29,95716791,3971276,4.15,95716791,4.15
2023/11/14,3490,35,1.01,95716791,3965582,4.14,95716791,4.14
2023/11/13,3455,-50,-1.43,95716791,3967999,4.15,95716791,4.15
2023/11/10,3505,-30,-0.85,95716791,3968284,4.15,95716791,4.15
2023/11/09,3535,15,0.43,95716791,3961828,4.14,95716791,4.14
2023/11/08,3520,-30,-0.85,95716791,3971031,4.15,95716791,4.15
2023/11/07,3550,-5,-0.14,95716791,3955854,4.13,95716791,4.13
2023/11/06,3555,25,0.71,95716791,3926669,4.1,95716791,4.1
2023/11/03,3530,70,2.02,95716791,3918283,4.09,95716791,4.09
2023/11/02,3460,90,2.67,95716791,3895253,4.07,95716791,4.07
2023/11/01,3370,50,1.51,95716791,3894178,4.07,95716791,4.07
2023/10/31,3320,10,0.3,95716791,3893756,4.07,95716791,4.07
2023/10/30,3310,10,0.3,95716791,3891424,4.07,95716791,4.07
2023/10/27,3300,35,1.07,95716791,3868015,4.04,95716791,4.04
2023/10/26,3265,-135,-3.97,95716791,3860693,4.03,95716791,4.03
2023/10/25,3400,120,3.66,95716791,3836431,4.01,95716791,4.01
2023/10/24,3280,70,2.18,95716791,3831391,4.0,95716791,4.0
2023/10/23,3210,-25,-0.77,95716791,3836867,4.01,95716791,4.01
2023/10/20,3235,-100,-3.0,95716791,3851971,4.02,95716791,4.02
2023/10/19,3335,-70,-2.06,95716791,3851918,4.02,95716791,4.02
2023/10/18,3405,5,0.15,95716791,3900138,4.07,95716791,4.07
2023/10/17,3400,0,0.0,95716791,3924469,4.1,95716791,4.1
2023/10/16,3400,-25,-0.73,95716791,3933613,4.11,95716791,4.11
2023/10/13,3425,-60,-1.72,95716791,3939710,4.12,95716791,4.12
2023/10/12,3485,125,3.72,95716791,3904400,4.08,95716791,4.08
2023/10/11,3360,-10,-0.3,95716791,3905806,4.08,95716791,4.08
2023/10/10,3370,-70,-2.03,95716791,3898870,4.07,95716791,4.07
2023/10/06,3440,115,3.46,95716791,3880841,4.05,95716791,4.05
2023/10/05,3325,10,0.3,95716791,3896199,4.07,95716791,4.07
2023/10/04,3315,-135,-3.91,95716791,3916979,4.09,95716791,4.09
2023/09/27,3450,40,1.17,95716791,3908420,4.08,95716791,4.08
2023/09/26,3410,-110,-3.13,95716791,3897014,4.07,95716791,4.07
2023/09/25,3520,-55,-1.54,95716791,3907849,4.08,95716791,4.08
2023/09/22,3575,-15,-0.42,95716791,3913901,4.09,95716791,4.09
2023/09/21,3590,-40,-1.1,95716791,3933788,4.11,95716791,4.11
2023/09/20,3630,5,0.14,95716791,3936256,4.11,95716791,4.11
2023/09/19,3625,5,0.14,95716791,3942884,4.12,95716791,4.12
2023/09/18,3620,-25,-0.69,95716791,3943803,4.12,95716791,4.12
2023/09/15,3645,10,0.28,95716791,3937743,4.11,95716791,4.11
2023/09/14,3635,55,1.54,95716791,3906686,4.08,95716791,4.08
2023/09/13,3580,-15,-0.42,95716791,3909024,4.08,95716791,4.08
2023/09/12,3595,-30,-0.83,95716791,3910447,4.09,95716791,4.09
2023/09/11,3625,50,1.4,95716791,3896543,4.07,95716791,4.07
2023/09/08,3575,0,0.0,95716791,3894998,4.07,95716791,4.07
2023/09/07,3575,-75,-2.05,95716791,3910409,4.09,95716791,4.09
2023/09/06,3650,-15,-0.41,95716791,3913252,4.09,95716791,4.09
2023/09/05,3665,30,0.83,95716791,3912203,4.09,95716791,4.09
2023/09/04,3635,-20,-0.55,95716791,3916854,4.09,95716791,4.09
2023/09/01,3655,30,0.83,95716791,3911955,4.09,95716791,4.09
2023/08/31,3625,-30,-0.82,95716791,3917506,4.09,95716791,4.09
2023/08/30,3655,-25,-0.68,95716791,3921206,4.1,95716791,4.1
2023/08/29,3680,40,1.1,95716791,3918256,4.09,95716791,4.09
2023/08/28,3640,30,0.83,95716791,3903304,4.08,95716791,4.08
2023/08/25,3610,-5,-0.14,95716791,3904728,4.08,95716791,4.08
2023/08/24,3615,75,2.12,95716791,3900138,4.07,95716791,4.07
2023/08/23,3540,-25,-0.7,95716791,3892188,4.07,95716791,4.07
2023/08/22,3565,0,0.0,95716791,3893629,4.07,95716791,4.07
2023/08/21,3565,-5,-0.14,95716791,3896480,4.07,95716791,4.07
2023/08/18,3570,-35,-0.97,95716791,3904222,4.08,95716791,4.08
2023/08/17,3605,-50,-1.37,95716791,3918683,4.09,95716791,4.09
2023/08/16,3655,-80,-2.14,95716791,3898667,4.07,95716791,4.07
2023/08/14,3735,15,0.4,95716791,3895436,4.07,95716791,4.07
