time,finprice,contrast,return,numOfStock,fore_vol,fore_ratio,fore_limit,fore_limit_rate
2023/12/28,131300,2600,2.02,17283906,5314527,30.75,17283906,30.75
2023/12/27,128700,-6100,-4.53,17283906,5365880,31.05,17283906,31.05
2023/12/26,134800,2900,2.2,17283906,5352057,30.97,17283906,30.97
2023/12/22,131900,-600,-0.45,17283906,5368849,31.06,17283906,31.06
2023/12/21,132500,-1300,-0.97,17283906,5380859,31.13,17283906,31.13
2023/12/20,133800,1100,0.83,17283906,5371845,31.08,17283906,31.08
2023/12/19,132700,1600,1.22,17283906,5353731,30.98,17283906,30.98
2023/12/18,131100,-3100,-2.31,17283906,5362817,31.03,17283906,31.03
2023/12/15,134200,-600,-0.45,17283906,5384786,31.15,17283906,31.15
2023/12/14,134800,2700,2.04,17283906,5377158,31.11,17283906,31.11
2023/12/13,132100,-4000,-2.94,17283906,5424446,31.38,17283906,31.38
2023/12/12,136100,-500,-0.37,17283906,5436694,31.46,17283906,31.46
2023/12/11,136600,-400,-0.29,17283906,5453446,31.55,17283906,31.55
2023/12/08,137000,0,0.0,17283906,5467446,31.63,17283906,31.63
2023/12/07,137000,-700,-0.51,17283906,5492944,31.78,17283906,31.78
2023/12/06,137700,-3400,-2.41,17283906,5515102,31.91,17283906,31.91
2023/12/05,141100,5600,4.13,17283906,5548021,32.1,17283906,32.1
2023/12/04,135500,-1400,-1.02,17283906,5560247,32.17,17283906,32.17
2023/12/01,136900,1200,0.88,17283906,5581987,32.3,17283906,32.3
2023/11/30,135700,3200,2.42,17283906,5732064,33.16,17283906,33.16
2023/11/29,132500,3100,2.4,17283906,5754006,33.29,17283906,33.29
2023/11/28,129400,500,0.39,17283906,5768115,33.37,17283906,33.37
2023/11/27,128900,-2200,-1.68,17283906,5804168,33.58,17283906,33.58
2023/11/24,131100,0,0.0,17283906,5839196,33.78,17283906,33.78
2023/11/23,131100,-1200,-0.91,17283906,5857200,33.89,17283906,33.89
2023/11/22,132300,-2800,-2.07,17283906,5867787,33.95,17283906,33.95
2023/11/21,135100,-300,-0.22,17283906,5873802,33.98,17283906,33.98
2023/11/20,135400,1900,1.42,17283906,5889192,34.07,17283906,34.07
2023/11/17,133500,-6100,-4.37,17283906,5898891,34.13,17283906,34.13
2023/11/16,139600,-1600,-1.13,17283906,5877545,34.01,17283906,34.01
2023/11/15,141200,-9300,-6.18,17283906,5916726,34.23,17283906,34.23
2023/11/14,150500,2500,1.69,17283906,5919278,34.25,17283906,34.25
2023/11/13,148000,2700,1.86,17283906,5918809,34.24,17283906,34.24
2023/11/10,145300,-1700,-1.16,17283906,5934587,34.34,17283906,34.34
2023/11/09,147000,2100,1.45,17283906,5942504,34.38,17283906,34.38
2023/11/08,144900,-100,-0.07,17283906,5940786,34.37,17283906,34.37
2023/11/07,145000,-5400,-3.59,17283906,5947846,34.41,17283906,34.41
2023/11/06,150400,5800,4.01,17283906,5930368,34.31,17283906,34.31
2023/11/03,144600,4200,2.99,17283906,5932064,34.32,17283906,34.32
2023/11/02,140400,-3600,-2.5,17283906,5942730,34.38,17283906,34.38
2023/11/01,144000,5800,4.2,17283906,5959083,34.48,17283906,34.48
2023/10/31,138200,-3100,-2.19,17283906,5963964,34.51,17283906,34.51
2023/10/30,141300,2700,1.95,17283906,5971364,34.55,17283906,34.55
2023/10/27,138600,6900,5.24,17283906,5993750,34.68,17283906,34.68
2023/10/26,131700,-1400,-1.05,17283906,5994323,34.68,17283906,34.68
2023/10/25,133100,1700,1.29,17283906,5995575,34.69,17283906,34.69
2023/10/24,131400,500,0.38,17283906,5993835,34.68,17283906,34.68
2023/10/23,130900,-800,-0.61,17283906,6003429,34.73,17283906,34.73
2023/10/20,131700,-4900,-3.59,17283906,6003439,34.73,17283906,34.73
2023/10/19,136600,-200,-0.15,17283906,6011425,34.78,17283906,34.78
2023/10/18,136800,2000,1.48,17283906,6013411,34.79,17283906,34.79
2023/10/17,134800,-4100,-2.95,17283906,6022480,34.84,17283906,34.84
2023/10/16,138900,-700,-0.5,17283906,6020914,34.84,17283906,34.84
2023/10/13,139600,400,0.29,17283906,6025381,34.86,17283906,34.86
2023/10/12,139200,0,0.0,17283906,6017185,34.81,17283906,34.81
