time,finprice,contrast,return,numOfStock,fore_vol,fore_ratio,fore_limit,fore_limit_rate
2023/12/28,7140,60,0.85,322088438,110294029,34.24,322088438,34.24
2023/12/27,7080,-80,-1.12,322088438,110752342,34.39,322088438,34.39
2023/12/26,7160,30,0.42,322088438,109812128,34.09,322088438,34.09
2023/12/22,7130,-30,-0.42,322088438,109850237,34.11,322088438,34.11
2023/12/21,7160,-20,-0.28,322088438,109828271,34.1,322088438,34.1
2023/12/20,7180,80,1.13,322088438,109236759,33.92,322088438,33.92
2023/12/19,7100,-20,-0.28,322088438,109333565,33.95,322088438,33.95
2023/12/18,7120,-30,-0.42,322088438,109466178,33.99,322088438,33.99
2023/12/15,7150,0,0.0,322088438,109156364,33.89,322088438,33.89
2023/12/14,7150,10,0.14,322088438,109106025,33.87,322088438,33.87
2023/12/13,7140,0,0.0,322088438,109135961,33.88,322088438,33.88
2023/12/12,7140,30,0.42,322088438,109065020,33.86,322088438,33.86
2023/12/11,7110,-20,-0.28,322088438,109106654,33.87,322088438,33.87
2023/12/08,7130,30,0.42,322088438,109106654,33.87,322088438,33.87
2023/12/07,7100,-40,-0.56,322088438,109337648,33.95,322088438,33.95
2023/12/06,7140,20,0.28,322088438,109381252,33.96,322088438,33.96
2023/12/05,7120,-10,-0.14,322088438,109357107,33.95,322088438,33.95
2023/12/04,7130,-30,-0.42,322088438,109373585,33.96,322088438,33.96
2023/12/01,7160,-10,-0.14,322088438,109336953,33.95,322088438,33.95
2023/11/30,7170,10,0.14,322088438,109481733,33.99,322088438,33.99
2023/11/29,7160,-30,-0.42,322088438,109789260,34.09,322088438,34.09
2023/11/28,7190,10,0.14,322088438,110011552,34.16,322088438,34.16
2023/11/27,7180,50,0.7,322088438,109982924,34.15,322088438,34.15
2023/11/24,7130,20,0.28,322088438,109942729,34.13,322088438,34.13
2023/11/23,7110,40,0.57,322088438,109905352,34.12,322088438,34.12
2023/11/22,7070,-60,-0.84,322088438,110009244,34.15,322088438,34.15
2023/11/21,7130,30,0.42,322088438,109963587,34.14,322088438,34.14
2023/11/20,7100,30,0.42,322088438,109963781,34.14,322088438,34.14
2023/11/17,7070,0,0.0,322088438,109960880,34.14,322088438,34.14
2023/11/16,7070,-20,-0.28,322088438,110000686,34.15,322088438,34.15
2023/11/15,7090,-20,-0.28,322088438,110291072,34.24,322088438,34.24
2023/11/14,7110,60,0.85,322088438,110459953,34.29,322088438,34.29
2023/11/13,7050,50,0.71,322088438,110414175,34.28,322088438,34.28
2023/11/10,7000,0,0.0,322088438,110512215,34.31,322088438,34.31
2023/11/09,7000,60,0.86,322088438,110473761,34.3,322088438,34.3
2023/11/08,6940,-50,-0.72,322088438,110533539,34.32,322088438,34.32
2023/11/07,6990,-50,-0.71,322088438,110512578,34.31,322088438,34.31
2023/11/06,7040,240,3.53,322088438,110421732,34.28,322088438,34.28
2023/11/03,6800,80,1.19,322088438,110511268,34.31,322088438,34.31
2023/11/02,6720,-100,-1.47,322088438,110909502,34.43,322088438,34.43
2023/11/01,6820,40,0.59,322088438,110988746,34.46,322088438,34.46
2023/10/31,6780,-30,-0.44,322088438,111077869,34.49,322088438,34.49
2023/10/30,6810,-80,-1.16,322088438,111270866,34.55,322088438,34.55
2023/10/27,6890,-110,-1.57,322088438,111373774,34.58,322088438,34.58
2023/10/26,7000,-40,-0.57,322088438,111420467,34.59,322088438,34.59
2023/10/25,7040,80,1.15,322088438,111524006,34.63,322088438,34.63
2023/10/24,6960,-90,-1.28,322088438,111844274,34.72,322088438,34.72
2023/10/23,7050,-100,-1.4,322088438,112032962,34.78,322088438,34.78
2023/10/20,7150,60,0.85,322088438,111991418,34.77,322088438,34.77
2023/10/19,7090,-130,-1.8,322088438,112295397,34.86,322088438,34.86
2023/10/18,7220,70,0.98,322088438,111986405,34.77,322088438,34.77
2023/10/17,7150,-30,-0.42,322088438,112032048,34.78,322088438,34.78
2023/10/16,7180,30,0.42,322088438,111992411,34.77,322088438,34.77
2023/10/13,7150,10,0.14,322088438,111907868,34.74,322088438,34.74
2023/10/12,7140,100,1.42,322088438,111873642,34.73,322088438,34.73
2023/10/11,7040,-20,-0.28,322088438,112095267,34.8,322088438,34.8
2023/10/10,7060,160,2.32,322088438,111204617,34.53,322088438,34.53
2023/10/06,6900,130,1.92,322088438,111374945,34.58,322088438,34.58
2023/10/05,6770,10,0.15,322088438,111405345,34.59,322088438,34.59
2023/10/04,6760,-90,-1.31,322088438,111568717,34.64,322088438,34.64
2023/09/27,6850,-40,-0.58,322088438,111937753,34.75,322088438,34.75
2023/09/26,6890,-130,-1.85,322088438,112278297,34.86,322088438,34.86
