,경상수지_lag,상품수지_lag,서비스수지_lag,본원소득수지_lag,이전소득수지_lag,자본수지_lag,자본이전_lag,비생산비금융자산_lag,금융계정_lag,직접투자_lag,증권투자_lag,파생금융상품_lag,기타투자_lag,준비자산_lag,외국인보유비율변화
2018/01,4486.5,7915.5,-3707.4,1123.7,-845.3,-31.1,-14.9,-16.2,-6524.9,82.8,-12072.0,1451.9,4776.6,-764.2,0.3570129870129861
2018/02,2556.9,7338.0,-4654.4,1543.5,-1670.2,-6.1,2.3,-8.4,-4640.5,-885.9,-3516.5,1310.9,-104.9,-1444.1,0.06060606060606233
2018/03,3226.7,4793.3,-2723.5,1553.1,-396.2,-13.3,-6.6,-6.7,-3635.3,-253.1,-9867.3,888.1,5756.7,-159.7,-3.690714285714286
2018/04,5210.4,9216.5,-2314.0,-1008.4,-683.7,1.7,5.7,-4.0,-5341.4,-1923.4,-399.2,1497.1,-3328.1,-1187.8,-0.24380952380952436
2018/05,1490.4,9402.2,-1970.1,-5269.2,-672.5,47.7,-0.5,48.2,-37.2,-2189.0,-4070.4,749.3,8591.9,-3119.0,0.3296904761904784
2018/06,8792.3,10550.2,-1930.4,900.8,-728.3,11.8,8.6,3.2,-8504.5,-5146.4,-2068.3,203.5,2214.6,-3707.9,-0.266657894736845
2018/07,7980.1,9413.5,-2230.8,1361.4,-564.0,-6.7,-4.8,-1.9,-4919.2,-634.9,363.6,-85.3,-1587.0,-2975.6,-0.10047846889951728
2018/08,8874.4,10685.3,-2837.4,1692.5,-666.0,-6.7,0.0,-6.7,-10504.8,-2603.9,3553.7,-1023.1,-8946.4,-1485.1,-0.05681818181817988
2018/09,8581.2,10927.6,-2127.7,444.3,-663.0,-3.9,-2.5,-1.4,-8516.2,-4805.0,-2208.1,-756.6,-1982.1,1235.6,0.37398395721924516
2018/10,11235.5,13105.2,-2479.1,1047.4,-438.0,73.3,-1.9,75.2,-9881.3,-2197.3,-9886.4,-316.0,4415.2,-1896.8,0.705518207282914
2018/11,9473.6,10522.2,-2055.0,1414.7,-408.3,82.3,-2.0,84.3,-10656.4,-3298.3,-6891.9,-509.1,2200.5,-2157.6,-0.24677489177489065
2018/12,5130.6,7504.9,-2193.6,341.8,-522.5,-9.5,-1.4,-8.1,-3406.3,-131.0,-5218.7,-304.2,2205.6,42.0,0.05509569377990431
2019/01,4914.4,6627.9,-1853.4,880.0,-740.1,146.1,-0.5,146.6,-6430.3,-1969.6,-7211.2,-152.2,3542.4,-639.7,0.09126794258373394
2019/02,2894.7,5880.0,-3934.0,1695.2,-746.5,-29.1,-0.3,-28.8,-2702.1,-1589.1,-5169.7,131.6,4089.8,-164.7,0.032540106951870484
2019/03,3308.2,5418.5,-1859.8,311.7,-562.2,-15.0,-1.8,-13.2,-2332.0,-2565.8,-3584.7,-114.5,3346.7,586.3,0.36432352941176305
2019/04,4347.0,8429.1,-2426.2,-1021.4,-634.5,5.4,-0.8,6.2,-5456.5,-3339.8,-4728.8,-524.9,4593.6,-1456.6,-0.03322727272727377
2019/05,-527.4,5545.8,-1618.2,-3866.4,-588.6,-19.5,0.3,-19.8,-282.4,-3907.2,-3987.8,-562.0,7069.3,1105.3,-0.08512987012986883
2019/06,4983.2,5717.8,-1384.6,1363.4,-713.4,-12.9,0.4,-13.3,-4445.0,-2602.3,535.6,-889.2,-2823.7,1334.6,-0.26977443609022345
2019/07,6166.1,6361.5,-2431.0,2009.3,226.3,-2.2,2.0,-4.2,-6292.2,-474.5,-37.7,-2414.0,-4809.4,1443.4,-0.016498855835244797
2019/08,6957.2,6814.9,-2080.7,2841.8,-618.8,-3.6,0.5,-4.1,-6746.7,-2231.5,-5674.6,-601.0,3425.1,-1664.7,0.08770186335404162
2019/09,4983.5,4819.3,-1923.1,2427.1,-339.8,-0.7,-0.7,0.0,-3804.4,-1430.6,1035.5,-896.5,-3660.2,1147.4,0.16984962406014859
2019/10,8014.3,8937.8,-2597.2,2001.3,-327.6,-60.4,-1.1,-59.3,-5199.2,-2357.7,-2552.4,-603.5,2272.6,-1958.2,0.08443609022556586
2019/11,8035.8,8541.7,-1872.0,1730.2,-364.1,-14.7,-1.1,-13.6,-10731.7,-754.0,-3502.6,295.6,-6281.6,-489.1,-0.0238095238095255
2019/12,5876.6,7748.2,-2123.2,799.4,-547.8,-4.6,-0.3,-4.3,-5417.1,-3776.9,-5158.2,160.9,5265.1,-1908.0,-0.21004761904762148
2020/01,4636.9,5597.5,-2595.3,2564.4,-929.7,-12.0,-0.9,-11.1,-5617.6,-575.3,-9551.6,-215.7,4166.9,558.1,-0.16849999999999454
2020/02,184.5,1882.9,-2905.9,1439.6,-232.1,-18.5,-1.5,-17.0,-680.5,-1711.3,-384.4,-324.0,3200.8,-1461.6,-0.030000000000001137
2020/03,6708.2,6586.7,-675.1,1191.5,-394.9,-3.6,0.6,-4.2,-5423.9,-1342.1,-2827.2,-1132.6,-217.7,95.7,-0.3482272727272715
2020/04,5825.8,6966.4,-1670.0,860.7,-331.3,-20.1,3.0,-23.1,-7532.3,-2362.1,-8464.9,-2829.6,-1048.6,7172.9,-0.4427727272727253
2020/05,-4023.8,488.2,-1518.4,-2712.5,-281.1,-3.2,0.1,-3.3,7646.1,-213.8,-4587.3,-1534.3,17278.4,-3296.9,-0.9016052631578972
2020/06,1942.1,2191.1,-689.5,709.1,-268.6,-155.0,1.8,-156.8,-2524.3,-173.4,-4041.9,-861.8,4139.4,-1586.6,-0.3106220095693786
2020/07,7039.3,5760.3,-1322.5,2111.6,489.9,-3.2,1.1,-4.3,-7162.1,-2609.5,-484.5,-755.5,-1617.3,-1695.3,-0.06901185770751539
2020/08,7225.9,6907.5,-1143.8,1867.6,-405.4,-33.3,1.0,-34.3,-11224.1,-2612.6,1016.6,494.6,-9718.3,-404.4,0.12123913043478751
2020/09,6589.0,6998.0,-748.1,663.4,-324.3,0.5,2.5,-2.0,-5291.8,-4098.1,-594.7,177.2,-810.5,34.3,-0.4523571428571458
2020/10,10672.3,12016.6,-1995.5,1076.8,-425.6,-4.6,-2.1,-2.5,-10720.5,-3206.2,-1029.8,-314.1,-3311.5,-2858.9,-0.6239849624060163
2020/11,12057.1,10234.3,-771.7,2923.1,-328.6,-17.4,-13.6,-3.8,-18750.9,-2231.2,-896.3,667.7,-11367.4,-4923.7,0.08208020050125597
2020/12,9618.8,9969.8,-792.8,767.3,-325.5,-91.4,-23.1,-68.3,-10839.1,-2633.6,-5107.7,1035.8,1552.4,-5686.0,-0.35809523809523824
2021/01,12063.0,10603.0,-436.8,2588.7,-691.9,-36.5,0.9,-37.4,-8879.3,-2873.6,-14342.7,505.3,10612.7,-2781.0,0.3658571428571413
2021/02,5762.3,5451.9,-690.8,1475.3,-474.1,-12.7,-0.1,-12.6,-4154.1,-680.1,-8743.5,-67.3,5032.5,304.3,1.2442222222222235
2021/03,6520.2,5831.1,-87.0,1074.1,-298.0,-16.1,-13.6,-2.5,-7296.4,-2636.3,-2340.2,998.3,-1075.5,-2242.7,-0.11904040404040472
2021/04,6688.8,7680.8,-1257.9,707.8,-441.9,-5.0,-1.0,-4.0,-9354.2,-1611.5,301.0,-279.2,-6585.0,-1179.5,-0.2872727272727289
2021/05,518.1,4876.2,-333.8,-3234.7,-789.6,-16.2,-2.2,-14.0,-416.8,-3029.0,1204.4,208.5,3303.3,-2104.0,-0.23459330143540313
2021/06,11307.2,6416.5,-561.0,6062.6,-610.9,-7.6,-1.2,-6.4,-8225.7,-3795.6,-5572.7,201.3,3304.6,-2363.3,0.11413875598086065
2021/07,9972.0,7551.7,-1036.5,3779.4,-322.6,4.8,5.3,-0.5,-5799.9,-2299.7,7399.5,455.7,-11369.2,13.8,0.066818181818185
2021/08,7387.0,5783.2,-529.3,2569.1,-436.0,-13.9,-11.7,-2.2,-8864.3,-479.3,3010.0,-476.6,-7586.1,-3332.3,0.6089177489177473
2021/09,6701.4,6194.1,281.4,330.4,-104.5,-18.4,-3.7,-14.7,-5715.2,-4535.7,-8131.1,-434.2,12776.9,-5391.1,0.39328320802005123
2021/10,9510.3,9543.3,-513.9,637.6,-156.7,-9.8,1.8,-11.6,-9210.8,-4554.7,851.1,328.3,-5650.4,-185.1,0.060000000000002274
2021/11,7903.9,6041.8,507.5,1390.4,-35.8,-4.9,-0.4,-4.5,-6069.1,-4086.3,2146.2,21.0,-1230.5,-2919.5,-0.5176555023923441
2021/12,6592.0,5926.2,-305.5,1166.8,-195.5,-40.9,0.6,-41.5,-6268.3,-6342.0,-3598.4,-310.3,1551.8,2430.6,-0.20136363636364507
2022/01,6365.0,4434.1,-759.9,3486.1,-795.3,-14.6,-0.7,-13.9,-7115.8,-9890.0,-5887.5,-586.1,7127.5,2120.3,-0.0674545454545381
2022/02,1634.2,765.2,-345.2,1615.9,-401.7,-5.7,0.7,-6.4,67.9,-3546.4,3767.1,-457.7,-761.8,1066.7,-0.4102222222222274
2022/03,5160.9,4220.7,90.0,1017.7,-167.5,-4.0,0.9,-4.9,-7450.2,-6738.8,-2175.1,158.6,1620.7,-315.6,-0.7713492063492069
2022/04,7170.9,5766.1,457.6,1009.8,-62.6,43.5,4.1,39.4,-6403.8,-6294.7,-9003.6,-54.9,4714.9,4234.5,-0.3985714285714259
2022/05,567.1,3266.4,267.7,-2572.7,-394.3,-8.6,-12.0,3.4,-723.7,-6079.8,-8837.0,-220.1,11429.1,2984.1,0.3038095238095231
2022/06,4018.8,3116.9,-282.5,1530.0,-345.6,-0.6,-3.6,3.0,-2967.5,-4135.2,-4788.0,-219.2,3863.8,2311.1,0.024833333333337038
2022/07,5920.9,3838.1,-973.1,3360.5,-304.6,2.1,-0.6,2.7,-3711.3,-3285.1,-3750.6,-1625.3,-849.6,5799.3,-0.039119047619049496
2022/08,1851.2,-101.4,-360.4,2657.6,-344.6,-4.0,-2.1,-1.9,1102.1,-2849.9,788.9,-724.4,5548.0,-1660.5,-0.0691991341991347
2022/09,-4102.9,-3891.9,-1541.3,1444.6,-114.3,-2.2,0.0,-2.2,-937.8,-1499.0,1808.4,-227.2,-348.8,-671.2,0.5163181818181819
2022/10,1861.6,950.4,-1084.4,2415.3,-419.7,78.1,72.9,5.2,-2027.2,-3369.7,1289.7,-1486.2,-13243.7,14782.7,0.43313157894736776
2022/11,762.4,-850.0,-138.4,1688.2,62.6,21.7,3.6,18.1,-1287.6,-175.2,5087.2,-2018.5,-5787.8,1606.7,0.6791866028708178
