통계표,계정코드,통화계약구분코드,단위,가중치,변환,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12,2022/01,2022/02,2022/03,2022/04,2022/05,2022/06,2022/07,2022/08,2022/09,2022/10,2022/11,2022/12,2023/01,2023/02,2023/03,2023/04,2023/05,2023/06,2023/07,2023/08,2023/09,2023/10,2023/11,2023/12
"4.3.2.1. 수입물가지수(기본분류)","총지수","원화기준","2015=100","1000.0","원자료","101.64","106.12","109.81","109.56","112.81","115.88","120.05","121.61","124.40","130.92","129.63","127.04","132.67","138.73","149.23","148.38","154.00","154.87","150.78","149.46","154.51","156.30","147.72","138.11","135.20","137.82","138.87","139.45","135.10","129.89","130.21","135.68","139.71","140.90","134.75","132.52"
"4.3.2.1. 수입물가지수(기본분류)","총지수","계약통화기준","2015=100","1000.0","원자료","102.89","106.28","108.48","109.26","112.05","115.37","117.43","117.40","119.20","124.34","123.26","120.80","125.16","130.44","138.18","136.62","138.11","138.32","132.18","130.00","128.23","126.95","124.82","121.94","123.42","123.78","121.61","120.72","116.48","114.72","115.73","118.06","120.85","120.23","118.20","116.49"
"4.3.2.1. 수입물가지수(기본분류)","총지수","달러기준","2015=100","1000.0","원자료","104.65","107.87","109.71","110.60","113.48","116.79","118.58","118.42","120.18","125.07","123.83","121.28","125.56","130.82","138.11","136.06","137.03","137.00","130.33","128.10","125.44","123.78","122.35","120.38","122.46","122.53","120.16","119.36","114.91","113.18","114.36","116.26","118.73","117.85","116.19","114.82"
"4.3.2.1. 수입물가지수(기본분류)","  농림수산품","원화기준","2015=100","42.1","원자료","102.53","106.19","109.69","111.93","115.34","114.77","118.00","121.23","123.54","125.14","125.96","125.21","127.89","131.98","137.63","141.55","146.87","144.93","142.30","142.46","148.52","146.91","137.61","129.89","124.60","127.86","130.44","129.08","127.69","123.41","123.06","127.50","129.03","130.25","127.12","126.31"
"4.3.2.1. 수입물가지수(기본분류)","  농림수산품","계약통화기준","2015=100","42.1","원자료","105.38","107.78","109.50","112.91","115.95","115.60","116.49","117.98","119.30","119.53","120.33","119.54","121.07","124.49","127.48","130.04","130.99","128.58","123.41","122.50","121.19","116.96","114.56","113.68","113.25","114.10","113.30","110.92","109.10","108.06","108.63","109.86","110.32","109.61","110.28","110.03"
"4.3.2.1. 수입물가지수(기본분류)","  농림수산품","달러기준","2015=100","42.1","원자료","105.64","108.02","109.67","113.08","116.12","115.75","116.65","118.15","119.45","119.65","120.41","119.62","121.13","124.55","127.47","129.90","130.79","128.30","123.08","122.19","120.70","116.44","114.08","113.33","112.99","113.79","112.98","110.60","108.73","107.63","108.20","109.36","109.77","109.06","109.71","109.54"
"4.3.2.1. 수입물가지수(기본분류)","    농림수산품","원화기준","2015=100","42.1","원자료","102.53","106.19","109.69","111.93","115.34","114.77","118.00","121.23","123.54","125.14","125.96","125.21","127.89","131.98","137.63","141.55","146.87","144.93","142.30","142.46","148.52","146.91","137.61","129.89","124.60","127.86","130.44","129.08","127.69","123.41","123.06","127.50","129.03","130.25","127.12","126.31"
"4.3.2.1. 수입물가지수(기본분류)","    농림수산품","계약통화기준","2015=100","42.1","원자료","105.38","107.78","109.50","112.91","115.95","115.60","116.49","117.98","119.30","119.53","120.33","119.54","121.07","124.49","127.48","130.04","130.99","128.58","123.41","122.50","121.19","116.96","114.56","113.68","113.25","114.10","113.30","110.92","109.10","108.06","108.63","109.86","110.32","109.61","110.28","110.03"
"4.3.2.1. 수입물가지수(기본분류)","    농림수산품","달러기준","2015=100","42.1","원자료","105.64","108.02","109.67","113.08","116.12","115.75","116.65","118.15","119.45","119.65","120.41","119.62","121.13","124.55","127.47","129.90","130.79","128.30","123.08","122.19","120.70","116.44","114.08","113.33","112.99","113.79","112.98","110.60","108.73","107.63","108.20","109.36","109.77","109.06","109.71","109.54"
"4.3.2.1. 수입물가지수(기본분류)","      농산물","원화기준","2015=100","20.0","원자료","106.90","110.53","113.74","115.49","119.94","118.95","123.89","129.15","132.45","135.87","138.03","138.56","140.87","150.93","156.52","159.44","167.06","162.71","156.56","159.30","166.37","166.33","156.84","148.34","143.03","145.20","146.11","143.28","141.22","135.94","136.59","139.88","141.37","143.13","139.13","137.53"
"4.3.2.1. 수입물가지수(기본분류)","      농산물","계약통화기준","2015=100","20.0","원자료","110.04","112.31","113.61","116.55","120.65","119.85","122.34","125.75","127.94","129.77","131.82","132.24","133.28","142.29","144.80","146.16","148.62","143.90","135.28","136.50","135.07","131.70","129.89","129.29","129.55","129.08","126.43","122.63","120.12","118.44","119.97","119.86","120.14","119.71","119.96","119.14"
"4.3.2.1. 수입물가지수(기본분류)","      농산물","달러기준","2015=100","20.0","원자료","110.03","112.30","113.60","116.54","120.63","119.84","122.33","125.74","127.93","129.75","131.81","132.23","133.27","142.28","144.79","146.15","148.61","143.89","135.27","136.49","135.06","131.69","129.88","129.28","129.54","129.07","126.42","122.62","120.11","118.43","119.96","119.86","120.13","119.70","119.95","119.13"
"4.3.2.1. 수입물가지수(기본분류)","        곡물및식량작물","원화기준","2015=100","10.2","원자료","119.11","126.15","129.09","132.95","138.56","137.20","143.60","150.79","154.05","157.10","156.37","157.40","161.05","178.63","187.56","189.73","198.25","188.69","178.79","181.29","191.38","195.55","186.44","176.04","168.14","169.26","167.36","158.22","151.68","144.53","147.63","150.37","151.15","151.11","145.06","138.56"
"4.3.2.1. 수입물가지수(기본분류)","        곡물및식량작물","계약통화기준","2015=100","10.2","원자료","122.63","128.20","128.96","134.20","139.39","138.27","141.84","146.85","148.85","150.08","149.37","150.26","152.41","168.44","173.57","173.97","176.41","166.92","154.53","155.38","155.41","154.89","154.45","153.46","152.31","150.50","144.84","135.46","129.03","125.93","129.67","128.88","128.46","126.41","125.09","120.07"
"4.3.2.1. 수입물가지수(기본분류)","        곡물및식량작물","달러기준","2015=100","10.2","원자료","122.63","128.20","128.96","134.20","139.39","138.27","141.84","146.85","148.85","150.08","149.37","150.26","152.41","168.44","173.57","173.97","176.41","166.92","154.53","155.38","155.41","154.89","154.45","153.46","152.31","150.50","144.84","135.46","129.03","125.93","129.67","128.88","128.46","126.41","125.09","120.07"
"4.3.2.1. 수입물가지수(기본분류)","          곡류","원화기준","2015=100","0.8","원자료","98.05","102.31","104.15","108.85","110.92","110.72","112.96","114.58","117.44","119.70","119.71","119.79","120.83","121.28","123.56","129.76","133.77","134.55","137.66","138.82","146.53","148.99","142.47","135.37","130.25","132.70","136.36","143.68","145.92","143.53","142.38","145.94","147.16","139.20","135.05","136.05"
"4.3.2.1. 수입물가지수(기본분류)","          곡류","계약통화기준","2015=100","0.8","원자료","101.01","104.06","104.12","109.95","111.66","111.66","111.66","111.66","113.54","114.43","114.43","114.43","114.43","114.43","114.43","119.06","119.11","119.11","119.06","119.06","119.06","118.09","118.09","118.09","118.09","118.09","118.09","123.09","124.23","125.18","125.18","125.18","125.18","116.53","116.53","117.98"
"4.3.2.1. 수입물가지수(기본분류)","          곡류","달러기준","2015=100","0.8","원자료","101.01","104.06","104.12","109.95","111.66","111.66","111.66","111.66","113.54","114.43","114.43","114.43","114.43","114.43","114.43","119.06","119.11","119.11","119.06","119.06","119.06","118.09","118.09","118.09","118.09","118.09","118.09","123.09","124.23","125.18","125.18","125.18","125.18","116.53","116.53","117.98"
"4.3.2.1. 수입물가지수(기본분류)","          맥류및잡곡","원화기준","2015=100","7.9","원자료","123.73","132.07","134.87","137.39","143.59","142.23","150.19","159.54","163.89","167.65","167.44","168.27","171.97","190.85","199.82","202.11","211.55","198.91","188.43","191.32","202.77","207.24","196.57","185.87","177.47","178.31","175.42","164.20","156.63","148.51","151.09","153.79","154.76","155.76","148.83","141.15"
"4.3.2.1. 수입물가지수(기본분류)","          맥류및잡곡","계약통화기준","2015=100","7.9","원자료","127.40","134.23","134.74","138.70","144.45","143.33","148.35","155.37","158.34","160.15","159.94","160.63","162.73","179.95","184.92","185.32","188.23","175.95","162.85","163.97","164.65","164.15","162.83","162.03","160.77","158.55","151.81","140.56","133.25","129.41","132.73","131.80","131.54","130.30","128.34","122.30"
"4.3.2.1. 수입물가지수(기본분류)","          맥류및잡곡","달러기준","2015=100","7.9","원자료","127.40","134.23","134.74","138.70","144.45","143.33","148.35","155.37","158.34","160.15","159.94","160.63","162.73","179.95","184.92","185.32","188.23","175.95","162.85","163.97","164.65","164.15","162.83","162.03","160.77","158.55","151.81","140.56","133.25","129.41","132.73","131.80","131.54","130.30","128.34","122.30"
"4.3.2.1. 수입물가지수(기본분류)","          콩류","원화기준","2015=100","1.5","원자료","110.69","112.75","117.18","127.47","132.18","130.18","130.92","130.22","128.33","128.24","124.48","126.99","131.79","152.01","164.22","163.89","170.36","170.79","156.92","158.25","163.18","166.73","163.84","152.96","145.83","147.91","148.20","141.26","135.12","130.31","138.26","141.04","140.60","139.16","136.41","132.10"
"4.3.2.1. 수입물가지수(기본분류)","          콩류","계약통화기준","2015=100","1.5","원자료","113.98","114.62","117.10","128.70","132.99","131.22","129.34","126.84","124.01","122.53","118.93","121.26","124.76","143.38","152.02","150.31","151.62","151.13","135.65","135.67","132.54","132.09","135.76","133.37","132.14","131.56","128.29","120.95","114.98","113.56","121.49","120.90","119.53","116.45","117.66","114.50"
"4.3.2.1. 수입물가지수(기본분류)","          콩류","달러기준","2015=100","1.5","원자료","113.98","114.62","117.10","128.70","132.99","131.22","129.34","126.84","124.01","122.53","118.93","121.26","124.76","143.38","152.02","150.31","151.62","151.13","135.65","135.67","132.54","132.09","135.76","133.37","132.14","131.56","128.29","120.95","114.98","113.56","121.49","120.90","119.53","116.45","117.66","114.50"
"4.3.2.1. 수입물가지수(기본분류)","        채소및과실","원화기준","2015=100","3.8","원자료","105.66","101.36","105.01","105.55","109.82","106.19","108.53","111.10","113.19","112.57","117.48","114.98","111.15","112.97","116.64","120.32","131.50","136.68","139.06","137.42","141.80","144.04","135.27","129.49","124.14","124.43","130.32","132.35","135.82","127.21","128.80","136.48","140.69","145.88","142.00","144.39"
"4.3.2.1. 수입물가지수(기본분류)","        채소및과실","계약통화기준","2015=100","3.8","원자료","108.84","103.09","104.96","106.60","110.53","107.06","107.25","108.24","109.41","107.59","112.27","109.82","105.24","106.57","108.00","110.38","117.08","120.98","120.25","117.85","115.21","114.14","112.12","112.94","112.52","110.69","112.84","113.36","115.61","110.91","113.21","117.03","119.65","122.10","122.52","125.18"
