통계표,계정코드,통화계약구분코드,단위,가중치,변환,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12,2022/01,2022/02,2022/03,2022/04,2022/05,2022/06,2022/07,2022/08,2022/09,2022/10,2022/11,2022/12,2023/01,2023/02,2023/03,2023/04,2023/05,2023/06,2023/07,2023/08,2023/09,2023/10,2023/11,2023/12
"4.3.1.1. 수출물가지수(기본분류)","총지수","원화기준","2015=100","1000.0","원자료","94.89","98.23","101.78","104.46","106.39","107.40","111.58","113.00","114.38","116.93","115.84","114.43","115.80","118.32","125.60","127.45","131.32","132.61","129.35","127.64","131.24","132.74","125.51","117.83","114.37","115.25","117.79","118.21","116.43","112.70","112.81","117.55","119.62","120.34","116.16","114.95"
"4.3.1.1. 수출물가지수(기본분류)","총지수","계약통화기준","2015=100","1000.0","원자료","96.88","99.14","101.21","104.90","106.41","107.65","109.85","109.78","110.28","111.65","110.70","109.34","109.74","111.75","116.74","117.69","118.09","118.68","113.46","111.09","108.79","107.59","105.97","104.16","104.70","103.71","103.34","102.51","100.50","99.66","100.44","102.35","103.49","102.64","101.89","101.11"
"4.3.1.1. 수출물가지수(기본분류)","총지수","달러기준","2015=100","1000.0","원자료","97.77","99.93","101.77","105.53","107.11","108.31","110.31","110.14","110.61","111.79","110.74","109.33","109.68","111.66","116.36","117.00","116.98","117.43","111.91","109.49","106.66","105.23","104.06","102.80","103.69","102.56","102.02","101.27","99.13","98.30","99.18","100.83","101.76","100.76","100.25","99.70"
"4.3.1.1. 수출물가지수(기본분류)","  농림수산품","원화기준","2015=100","3.6","원자료","107.60","108.84","109.77","110.51","112.82","115.22","127.42","126.80","127.75","127.76","125.50","127.65","129.65","129.28","132.51","133.68","135.96","140.43","141.46","141.33","142.23","138.58","136.75","132.21","129.38","126.76","124.45","123.81","125.04","121.82","121.90","120.51","118.21","117.63","118.51","120.55"
"4.3.1.1. 수출물가지수(기본분류)","  농림수산품","계약통화기준","2015=100","3.6","원자료","105.35","105.85","106.15","108.06","109.98","112.83","122.47","120.24","120.40","120.33","118.71","120.61","121.88","121.24","123.46","125.97","125.76","130.75","130.79","129.64","128.24","123.91","124.94","123.15","122.46","119.12","114.78","113.04","114.73","114.97","115.55","113.17","111.12","109.96","113.14","113.89"
"4.3.1.1. 수출물가지수(기본분류)","  농림수산품","달러기준","2015=100","3.6","원자료","110.87","110.71","109.75","111.65","113.58","116.20","125.95","123.58","123.53","122.14","119.97","121.95","122.80","122.00","122.71","122.66","121.07","124.33","122.36","121.22","115.58","109.84","113.36","115.33","117.30","112.80","107.76","106.07","106.44","106.22","107.15","103.36","100.53","98.48","102.26","104.54"
"4.3.1.1. 수출물가지수(기본분류)","    농림수산품","원화기준","2015=100","3.6","원자료","107.60","108.84","109.77","110.51","112.82","115.22","127.42","126.80","127.75","127.76","125.50","127.65","129.65","129.28","132.51","133.68","135.96","140.43","141.46","141.33","142.23","138.58","136.75","132.21","129.38","126.76","124.45","123.81","125.04","121.82","121.90","120.51","118.21","117.63","118.51","120.55"
"4.3.1.1. 수출물가지수(기본분류)","    농림수산품","계약통화기준","2015=100","3.6","원자료","105.35","105.85","106.15","108.06","109.98","112.83","122.47","120.24","120.40","120.33","118.71","120.61","121.88","121.24","123.46","125.97","125.76","130.75","130.79","129.64","128.24","123.91","124.94","123.15","122.46","119.12","114.78","113.04","114.73","114.97","115.55","113.17","111.12","109.96","113.14","113.89"
"4.3.1.1. 수출물가지수(기본분류)","    농림수산품","달러기준","2015=100","3.6","원자료","110.87","110.71","109.75","111.65","113.58","116.20","125.95","123.58","123.53","122.14","119.97","121.95","122.80","122.00","122.71","122.66","121.07","124.33","122.36","121.22","115.58","109.84","113.36","115.33","117.30","112.80","107.76","106.07","106.44","106.22","107.15","103.36","100.53","98.48","102.26","104.54"
"4.3.1.1. 수출물가지수(기본분류)","      농산물","원화기준","2015=100","0.8","원자료","106.20","107.60","102.77","101.71","102.06","101.88","118.99","103.38","102.79","95.15","82.80","85.20","91.37","89.04","98.51","102.20","105.31","128.53","121.15","109.07","95.50","85.11","89.14","83.08","92.44","77.21","74.92","74.92","77.89","82.21","96.26","93.11","89.36","82.22","102.09","99.83"
"4.3.1.1. 수출물가지수(기본분류)","      농산물","계약통화기준","2015=100","0.8","원자료","109.48","109.50","102.80","102.80","102.80","102.80","117.68","100.80","99.43","91.01","79.20","81.43","86.58","84.06","91.27","93.82","93.82","114.51","107.94","97.17","85.09","75.83","79.42","74.01","82.35","68.78","66.74","66.74","69.38","73.23","85.76","82.94","79.61","73.25","90.94","88.93"
"4.3.1.1. 수출물가지수(기본분류)","      농산물","달러기준","2015=100","0.8","원자료","109.48","109.50","102.80","102.80","102.80","102.80","117.68","100.80","99.43","91.01","79.20","81.43","86.58","84.06","91.27","93.82","93.82","113.84","104.83","93.59","77.64","67.50","73.93","72.51","83.85","68.73","64.91","64.21","66.34","71.72","84.67","79.88","76.04","68.87","88.14","86.61"
"4.3.1.1. 수출물가지수(기본분류)","        채소및과실","원화기준","2015=100","0.8","원자료","106.20","107.60","102.77","101.71","102.06","101.88","118.99","103.38","102.79","95.15","82.80","85.20","91.37","89.04","98.51","102.20","105.31","128.53","121.15","109.07","95.50","85.11","89.14","83.08","92.44","77.21","74.92","74.92","77.89","82.21","96.26","93.11","89.36","82.22","102.09","99.83"
"4.3.1.1. 수출물가지수(기본분류)","        채소및과실","계약통화기준","2015=100","0.8","원자료","109.48","109.50","102.80","102.80","102.80","102.80","117.68","100.80","99.43","91.01","79.20","81.43","86.58","84.06","91.27","93.82","93.82","114.51","107.94","97.17","85.09","75.83","79.42","74.01","82.35","68.78","66.74","66.74","69.38","73.23","85.76","82.94","79.61","73.25","90.94","88.93"
"4.3.1.1. 수출물가지수(기본분류)","        채소및과실","달러기준","2015=100","0.8","원자료","109.48","109.50","102.80","102.80","102.80","102.80","117.68","100.80","99.43","91.01","79.20","81.43","86.58","84.06","91.27","93.82","93.82","113.84","104.83","93.59","77.64","67.50","73.93","72.51","83.85","68.73","64.91","64.21","66.34","71.72","84.67","79.88","76.04","68.87","88.14","86.61"
"4.3.1.1. 수출물가지수(기본분류)","          과실","원화기준","2015=100","0.8","원자료","106.20","107.60","102.77","101.71","102.06","101.88","118.99","103.38","102.79","95.15","82.80","85.20","91.37","89.04","98.51","102.20","105.31","128.53","121.15","109.07","95.50","85.11","89.14","83.08","92.44","77.21","74.92","74.92","77.89","82.21","96.26","93.11","89.36","82.22","102.09","99.83"
"4.3.1.1. 수출물가지수(기본분류)","          과실","계약통화기준","2015=100","0.8","원자료","109.48","109.50","102.80","102.80","102.80","102.80","117.68","100.80","99.43","91.01","79.20","81.43","86.58","84.06","91.27","93.82","93.82","114.51","107.94","97.17","85.09","75.83","79.42","74.01","82.35","68.78","66.74","66.74","69.38","73.23","85.76","82.94","79.61","73.25","90.94","88.93"
"4.3.1.1. 수출물가지수(기본분류)","          과실","달러기준","2015=100","0.8","원자료","109.48","109.50","102.80","102.80","102.80","102.80","117.68","100.80","99.43","91.01","79.20","81.43","86.58","84.06","91.27","93.82","93.82","113.84","104.83","93.59","77.64","67.50","73.93","72.51","83.85","68.73","64.91","64.21","66.34","71.72","84.67","79.88","76.04","68.87","88.14","86.61"
"4.3.1.1. 수출물가지수(기본분류)","      수산물","원화기준","2015=100","2.8","원자료","107.33","108.51","111.39","112.75","115.70","118.97","129.41","133.90","135.38","137.98","139.17","141.22","141.69","142.02","142.96","143.17","145.13","142.75","146.81","151.01","157.15","155.99","152.07","148.14","141.25","142.87","140.56","139.71","140.33","134.61","130.02","129.22","127.40","129.03","123.56","127.03"
"4.3.1.1. 수출물가지수(기본분류)","      수산물","계약통화기준","2015=100","2.8","원자료","103.48","104.14","106.66","109.17","111.69","115.44","123.37","125.81","126.46","129.04","130.68","132.46","132.33","132.37","132.78","135.22","134.94","134.27","136.65","138.94","141.37","138.87","138.96","138.50","134.65","134.95","129.86","127.54","128.87","127.86","124.23","122.03","120.48","121.15","119.19","120.88"
"4.3.1.1. 수출물가지수(기본분류)","      수산물","달러기준","2015=100","2.8","원자료","110.58","110.36","111.36","113.89","116.47","119.97","127.91","130.49","130.88","131.91","133.04","134.91","134.19","134.02","132.36","131.38","129.23","126.37","126.98","129.53","127.71","123.63","126.06","129.22","128.06","127.13","121.70","119.67","119.45","117.37","114.28","110.82","108.35","108.01","106.62","110.13"
"4.3.1.1. 수출물가지수(기본분류)","        신선수산물","원화기준","2015=100","0.6","원자료","122.36","121.21","121.67","123.71","126.01","125.66","127.57","129.19","132.01","134.48","136.10","137.40","139.60","137.56","135.89","131.56","131.26","129.94","132.23","133.73","136.09","135.57","133.65","134.84","131.25","127.49","125.98","127.49","125.36","119.47","115.22","115.14","117.78","131.74","127.76","127.57"
